name,year,genre,adult,budget,c_box_office,c_profit,c_performance
The Shawshank Redemption,1994,Drama,yes,25000000.0,28884504.0,1.15538016,bad
The Godfather,1972,Action,yes,6000000.0,250341816.0,41.723636,great
The Dark Knight,2008,Action,no,185000000.0,1006234167.0,5.439103605405405,great
The Godfather Part II,1974,Action,yes,13000000.0,47961919.0,3.6893783846153845,expected
12 Angry Men,1957,Action,yes,350000.0,955.0,0.0027285714285714287,bad
Schindler's List,1993,History,yes,22000000.0,322161245.0,14.643692954545454,great
The Lord of the Rings: The Return of the King,2003,Action,no,94000000.0,1146457748.0,12.196359021276596,great
Pulp Fiction,1994,Action,yes,8000000.0,213928762.0,26.74109525,great
The Lord of the Rings: The Fellowship of the Ring,2001,Action,no,93000000.0,898204420.0,9.658112043010753,great
"The Good, the Bad and the Ugly",1966,Action,yes,1200000.0,25253887.0,21.044905833333335,great
Forrest Gump,1994,Family,no,55000000.0,678226465.0,12.331390272727273,great
Fight Club,1999,Drama,yes,63000000.0,101209702.0,1.6065032063492064,bad
The Lord of the Rings: The Two Towers,2002,Action,no,94000000.0,947944270.0,10.084513510638297,great
Inception,2010,Fantasy,no,160000000.0,836848102.0,5.2303006375,great
Star Wars: Episode V - The Empire Strikes Back,1980,Fantasy,no,18000000.0,538375067.0,29.909725944444446,great
The Matrix,1999,Fantasy,yes,63000000.0,467222728.0,7.416233777777777,great
Goodfellas,1990,History,yes,25000000.0,47036784.0,1.88147136,bad
One Flew Over the Cuckoo's Nest,1975,Drama,yes,3000000.0,109114817.0,36.37160566666667,great
Se7en,1995,Mystery,yes,33000000.0,327333559.0,9.919198757575758,great
Seven Samurai,1954,Action,yes,125000000.0,346258.0,0.002770064,bad
It's a Wonderful Life,1946,Fantasy,no,3180000.0,8574081.0,2.696251886792453,expected
The Silence of the Lambs,1991,Mystery,yes,19000000.0,272742922.0,14.354890631578947,great
City of God,2002,Action,yes,3300000.0,30680793.0,9.29721,great
Saving Private Ryan,1998,History,yes,70000000.0,482349603.0,6.890708614285714,great
Interstellar,2014,Fantasy,no,165000000.0,773867216.0,4.6901043393939394,expected
Life Is Beautiful,1997,Family,no,20000000.0,230098753.0,11.50493765,great
The Green Mile,1999,Fantasy,yes,60000000.0,286801374.0,4.7800229,expected
Star Wars: Episode IV - A New Hope,1977,Fantasy,no,11000000.0,775398007.0,70.49072790909091,great
Terminator 2: Judgment Day,1991,Fantasy,yes,102000000.0,520881154.0,5.106677980392157,great
Back to the Future,1985,Fantasy,no,19000000.0,383336762.0,20.17561905263158,great
Spirited Away,2001,Family,no,19000000.0,355822319.0,18.72749047368421,great
The Pianist,2002,History,yes,35000000.0,120072577.0,3.4306450571428573,expected
Psycho,1960,Mystery,yes,806947.0,32052925.0,39.72122704465101,great
Parasite,2019,Mystery,yes,11400000.0,262676096.0,23.041762807017545,great
The Lion King,1994,Family,no,45000000.0,968511805.0,21.522484555555554,great
Gladiator,2000,Action,yes,103000000.0,503162313.0,4.885071,expected
American History X,1998,Action,yes,20000000.0,23875127.0,1.19375635,bad
The Departed,2006,Mystery,yes,90000000.0,291480452.0,3.2386716888888887,expected
The Usual Suspects,1995,Mystery,yes,6000000.0,23341568.0,3.890261333333333,expected
The Prestige,2006,Fantasy,no,40000000.0,109676311.0,2.741907775,expected
Whiplash,2014,Family,yes,3300000.0,49396747.0,14.968711212121212,great
Casablanca,1942,History,no,950000.0,4626532.0,4.870033684210527,expected
Grave of the Fireflies,1988,History,yes,3700000.0,516962.0,0.13971945945945946,bad
The Intouchables,2011,History,yes,9500000.0,426588510.0,44.904053684210524,great
Modern Times,1936,Family,no,1500000.0,463618.0,0.30907866666666667,bad
Once Upon a Time in the West,1968,Action,no,5000000.0,5435024.0,1.0870048,bad
Rear Window,1954,Mystery,no,1000000.0,37034579.0,37.034579,great
Cinema Paradiso,1988,Family,no,5000000.0,13019063.0,2.6038126,expected
Alien,1979,Fantasy,yes,11000000.0,106285522.0,9.662320181818181,great
City Lights,1931,Family,no,1500000.0,50419.0,0.033612666666666666,bad
Apocalypse Now,1979,History,yes,31500000.0,104880868.0,3.329551365079365,expected
Memento,2000,Mystery,yes,9000000.0,40047078.0,4.449675333333333,expected
Django Unchained,2012,Action,yes,100000000.0,426074373.0,4.26074373,expected
Indiana Jones and the Raiders of the Lost Ark,1981,Action,no,18000000.0,389925971.0,21.662553944444443,great
WALL·E,2008,Family,no,180000000.0,521311890.0,2.8961771666666665,expected
The Lives of Others,2006,Mystery,yes,2000000.0,77356942.0,38.678471,great
Sunset Blvd.,1950,Mystery,yes,1752000.0,300073.0,0.17127454337899545,bad
Paths of Glory,1957,History,yes,935000.0,5252.0,0.00561711229946524,bad
The Shining,1980,Mystery,yes,19000000.0,47335804.0,2.4913581052631577,expected
The Great Dictator,1940,History,no,2000000.0,970263.0,0.4851315,bad
Avengers: Infinity War,2018,Fantasy,no,321000000.0,2052415039.0,6.393816320872274,great
Witness for the Prosecution,1957,Mystery,yes,3000000.0,7693.0,0.0025643333333333334,bad
Aliens,1986,Fantasy,yes,18500000.0,131060248.0,7.08433772972973,great
American Beauty,1999,Drama,yes,15000000.0,356296601.0,23.753106733333333,great
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,History,no,1800000.0,9523464.0,5.290813333333333,great
The Dark Knight Rises,2012,Action,no,250000000.0,1081169825.0,4.3246793,expected
Oldboy,2003,Mystery,yes,3000000.0,15421226.0,5.140408666666667,great
Inglourious Basterds,2009,History,yes,70000000.0,321457747.0,4.592253528571429,expected
Amadeus,1984,History,no,18000000.0,52066791.0,2.8925995,expected
Coco,2017,Family,no,175000000.0,814337054.0,4.653354594285714,expected
Toy Story,1995,Family,no,30000000.0,394436586.0,13.1478862,great
Joker,2019,Mystery,yes,55000000.0,1074458282.0,19.535605127272728,great
Braveheart,1995,History,yes,72000000.0,213216216.0,2.961336333333333,expected
Avengers: Endgame,2019,Action,no,356000000.0,2799439100.0,7.86359297752809,great
Princess Mononoke,1997,Family,no,2400000000.0,170005875.0,0.07083578125,bad
Once Upon a Time in America,1984,Action,yes,30000000.0,5473337.0,0.18244456666666667,bad
3 Idiots,2009,Comedy,no,550000000.0,60262836.0,0.10956879272727273,bad
Singin' in the Rain,1952,Family,no,2540800.0,2000288.0,0.7872670025188917,bad
Requiem for a Dream,2000,Drama,yes,4500000.0,7390108.0,1.6422462222222223,bad
Toy Story 3,2010,Family,no,200000000.0,1067316101.0,5.336580505,great
Star Wars: Episode VI - Return of the Jedi,1983,Fantasy,no,32500000.0,475106177.0,14.6186516,great
Eternal Sunshine of the Spotless Mind,2004,Fantasy,yes,20000000.0,74036715.0,3.70183575,expected
2001: A Space Odyssey,1968,Fantasy,no,12000000.0,65889846.0,5.4908205,great
Reservoir Dogs,1992,Mystery,yes,1200000.0,2913644.0,2.428036666666667,expected
Citizen Kane,1941,Mystery,no,839727.0,1645133.0,1.959128383391269,bad
Lawrence of Arabia,1962,History,yes,15000000.0,45720631.0,3.0480420666666665,expected
North by Northwest,1959,Mystery,yes,3101000.0,142319.0,0.04589455014511448,bad
Vertigo,1958,Family,no,2479000.0,7798146.0,3.1456821298910853,expected
Amélie,2001,Family,yes,10000000.0,174122191.0,17.4122191,great
The Apartment,1960,Family,yes,3000000.0,18778738.0,6.259579333333333,great
A Clockwork Orange,1971,Fantasy,yes,2200000.0,26960374.0,12.254715454545455,great
Double Indemnity,1944,Mystery,yes,927262.0,14651.0,0.01580028082677819,bad
Full Metal Jacket,1987,History,yes,30000000.0,46358827.0,1.5452942333333333,bad
Top Gun: Maverick,2022,Action,no,170000000.0,1488732821.0,8.757251888235293,great
Scarface,1983,Action,yes,25000000.0,65884703.0,2.63538812,expected
Incendies,2010,Mystery,yes,6800000.0,6788659.0,0.9983322058823529,bad
To Kill a Mockingbird,1962,Action,yes,2000000.0,599146.0,0.299573,bad
Heat,1995,Action,yes,60000000.0,187436818.0,3.123946966666667,expected
The Sting,1973,Comedy,no,5500000.0,156000000.0,28.363636363636363,great
Up,2009,Family,no,175000000.0,735099102.0,4.200566297142857,expected
A Separation,2011,Drama,no,500000.0,22926076.0,45.852152,great
